,referenceTime,sourceId
199,2020-12-01T00:00:00.000Z,SN12210:0
200,2020-12-01T00:00:00.000Z,SN32890:0
201,2020-12-01T00:00:00.000Z,SN60945:0
202,2020-12-01T00:00:00.000Z,SN69100:0
203,2020-12-01T00:00:00.000Z,SN24600:0
204,2020-12-01T00:00:00.000Z,SN60810:0
205,2020-12-01T00:00:00.000Z,SN37600:0
206,2020-12-01T00:00:00.000Z,SN53160:0
207,2020-12-01T00:00:00.000Z,SN30282:0
208,2020-12-01T00:00:00.000Z,SN29600:0
209,2020-12-01T00:00:00.000Z,SN18170:0
210,2020-12-01T00:00:00.000Z,SN11450:0
211,2020-12-01T00:00:00.000Z,SN29950:0
212,2020-12-01T00:00:00.000Z,SN67560:0
213,2020-12-01T00:00:00.000Z,SN70960:0
214,2020-12-09T00:00:00.000Z,SN59530:0
215,2020-12-01T00:00:00.000Z,SN34095:0
216,2020-12-01T00:00:00.000Z,SN61064:0
217,2020-12-01T00:00:00.000Z,SN30246:0
218,2020-12-01T00:00:00.000Z,SN67210:0
219,2020-12-01T00:00:00.000Z,SN81915:0
220,2020-12-01T00:00:00.000Z,SN32220:0
221,2020-12-01T00:00:00.000Z,SN75410:0
222,2020-12-01T00:00:00.000Z,SN27770:0
223,2020-12-01T00:00:00.000Z,SN90510:0
224,2020-12-01T00:00:00.000Z,SN18215:0
225,2020-12-01T00:00:00.000Z,SN48450:0
226,2020-12-01T00:00:00.000Z,SN40420:0
227,2020-12-01T00:00:00.000Z,SN79600:0
228,2020-12-28T00:00:00.000Z,SN82220:0
229,2020-12-01T00:00:00.000Z,SN41990:0
230,2020-12-01T00:00:00.000Z,SN94870:0
231,2020-12-01T00:00:00.000Z,SN27330:0
232,2020-12-01T00:00:00.000Z,SN49087:0
233,2020-12-01T00:00:00.000Z,SN27420:0
234,2020-12-01T00:00:00.000Z,SN57000:0
235,2020-12-01T00:00:00.000Z,SN47445:0
236,2020-12-01T00:00:00.000Z,SN68125:0
237,2020-12-01T00:00:00.000Z,SN98360:0
238,2020-12-01T00:00:00.000Z,SN13110:0
239,2020-12-01T00:00:00.000Z,SN11710:0
240,2020-12-01T00:00:00.000Z,SN28380:0
241,2020-12-01T00:00:00.000Z,SN30255:0
242,2020-12-01T00:00:00.000Z,SN55430:0
243,2020-12-01T00:00:00.000Z,SN30650:0
244,2020-12-01T00:00:00.000Z,SN38150:0
