,DATE,PRISOMRÅDE,VOLUM_KWH
361,2020-11-19,NO2,150852517.536
362,2020-11-19,NO3,63592474.78
363,2020-11-19,NO4,49792805.522
364,2020-11-19,NO5,82502940.848
365,2020-11-20,NO1,69149256.918
366,2020-11-20,NO2,180441162.484
367,2020-11-20,NO3,74712618.683
368,2020-11-20,NO4,48969418.278
369,2020-11-20,NO5,96069341.271
370,2020-11-21,NO1,63807757.536
371,2020-11-21,NO2,154774131.451
372,2020-11-21,NO3,71585082.196
373,2020-11-21,NO4,42475674.845
374,2020-11-21,NO5,71693552.893
375,2020-11-22,NO1,61646332.103
376,2020-11-22,NO2,156753756.914
377,2020-11-22,NO3,69693491.971
378,2020-11-22,NO4,28623585.417
379,2020-11-22,NO5,72742417.823
380,2020-11-23,NO1,64614913.121
381,2020-11-23,NO2,193512488.911
382,2020-11-23,NO3,67385342.027
383,2020-11-23,NO4,38838404.827
384,2020-11-23,NO5,85155158.273
385,2020-11-24,NO1,62769581.315
386,2020-11-24,NO2,203333208.832
387,2020-11-24,NO3,86656947.39
388,2020-11-24,NO4,62744195.247999996
389,2020-11-24,NO5,84034318.107
390,2020-11-25,NO1,63783907.221
391,2020-11-25,NO2,199179767.679
392,2020-11-25,NO3,85417332.0
393,2020-11-25,NO4,52342653.531
394,2020-11-25,NO5,85945105.131
395,2020-11-26,NO1,63757493.136
396,2020-11-26,NO2,207844230.122
397,2020-11-26,NO3,76049795.256
398,2020-11-26,NO4,58087767.011
399,2020-11-26,NO5,103482466.424
400,2020-11-27,NO1,66080472.27
401,2020-11-27,NO2,205120093.526
402,2020-11-27,NO3,83736672.331
403,2020-11-27,NO4,87427959.166
404,2020-11-27,NO5,121011982.53
405,2020-11-28,NO1,63862981.395
406,2020-11-28,NO2,199998151.044
407,2020-11-28,NO3,76864382.76
408,2020-11-28,NO4,94550485.372
409,2020-11-28,NO5,119908947.66
410,2020-11-29,NO1,60430096.726
411,2020-11-29,NO2,198541770.5
412,2020-11-29,NO3,79107936.985
413,2020-11-29,NO4,93760359.718
414,2020-11-29,NO5,118445595.054
415,2020-11-30,NO1,63610008.196
416,2020-11-30,NO2,202871020.457
417,2020-11-30,NO3,83318466.649
418,2020-11-30,NO4,94764417.19
419,2020-11-30,NO5,120374720.582
420,2020-12-01,NO1,59634251.706
