,DATE,PRISOMRÅDE,VOLUM_KWH,ANTALL_MÅLEPUNKT
225,2021-02-14,NO1,152966387.762,30767418.0
226,2021-02-14,NO2,128506568.165,19038614.0
227,2021-02-14,NO3,89409009.151,12456043.0
228,2021-02-14,NO4,54109819.892,7930790.0
229,2021-02-14,NO5,54656630.691,7714480.0
230,2021-02-15,NO1,159996289.155,30770141.0
231,2021-02-15,NO2,130781825.59,19039533.0
232,2021-02-15,NO3,92106112.21700001,12457071.0
233,2021-02-15,NO4,55443479.531,7931120.0
234,2021-02-15,NO5,56023216.667,7714882.0
235,2021-02-16,NO1,150031461.678,30772580.0
236,2021-02-16,NO2,127356348.744,19040582.0
237,2021-02-16,NO3,89386528.157,12457963.0
238,2021-02-16,NO4,56868518.455,7931324.0
239,2021-02-16,NO5,51028579.413,7715738.0
240,2021-02-17,NO1,145552999.161,30775278.0
241,2021-02-17,NO2,126896260.494,19040926.0
242,2021-02-17,NO3,87366995.422,12457856.0
243,2021-02-17,NO4,59175787.094,7931788.0
244,2021-02-17,NO5,51508065.671,7717483.0
245,2021-02-18,NO1,143188468.864,30776010.0
246,2021-02-18,NO2,122699518.481,19041466.0
247,2021-02-18,NO3,86269338.716,12458080.0
248,2021-02-18,NO4,59274180.767,7931893.0
249,2021-02-18,NO5,50658814.389,7718500.0
250,2021-02-19,NO1,133294101.917,30776979.0
251,2021-02-19,NO2,117663364.866,19042236.0
252,2021-02-19,NO3,82569058.29,12458991.0
253,2021-02-19,NO4,59625180.997999996,7932185.0
254,2021-02-19,NO5,50111506.019,7719143.0
255,2021-02-20,NO1,119508471.232,30777052.0
256,2021-02-20,NO2,111576334.579,19041949.0
257,2021-02-20,NO3,79286118.338,12458774.0
258,2021-02-20,NO4,57197632.845,7932021.0
259,2021-02-20,NO5,47593286.491,7719118.0
260,2021-02-21,NO1,113851836.607,30777219.0
261,2021-02-21,NO2,108099606.786,19041723.0
262,2021-02-21,NO3,76296419.141,12458608.0
263,2021-02-21,NO4,57196672.388,7931973.0
264,2021-02-21,NO5,46215994.524,7719105.0
265,2021-02-22,NO1,119576936.501,30779054.0
266,2021-02-22,NO2,113118941.75,19042367.0
267,2021-02-22,NO3,82629428.773,12460110.0
268,2021-02-22,NO4,58973129.865,7932466.0
269,2021-02-22,NO5,47672918.948,7719915.0
270,2021-02-23,NO1,119029500.971,30781651.0
271,2021-02-23,NO2,114156556.613,19042909.0
272,2021-02-23,NO3,80144008.858,12460840.0
273,2021-02-23,NO4,57524031.52,7932710.0
274,2021-02-23,NO5,48276049.78,7721156.0
275,2021-02-24,NO1,117164108.833,30783232.0
276,2021-02-24,NO2,113153972.756,19043246.0
277,2021-02-24,NO3,77759671.029,12461776.0
278,2021-02-24,NO4,53850345.344,7933080.0
279,2021-02-24,NO5,49062892.904,7722784.0
280,2021-02-25,NO1,115899311.588,30784244.0
281,2021-02-25,NO2,112366307.372,19044150.0
