,DATE,PRISOMRÅDE,FORBRUK_KWH,ANTALL_MÅLEPUNKT,PRODUKSJON_KWH,NETTO_PRODUKSJON_KWH
105,2021-01-21,NO1,130128371.444,30736863.0,58364067.524,-71764303.92000002
106,2021-01-21,NO2,119735030.104,19027874.0,157873138.09600002,38138107.99200001
107,2021-01-21,NO3,87776650.694,12452612.0,70698889.429,-17077761.265
108,2021-01-21,NO4,61255316.616,7928615.0,85336746.169,24081429.553000003
109,2021-01-21,NO5,52502773.121,7703617.0,70512133.043,18009359.922
110,2021-01-22,NO1,125578711.41,30737758.0,59554169.803,-66024541.60699999
111,2021-01-22,NO2,117101172.031,19028458.0,156788111.711,39686939.67999999
112,2021-01-22,NO3,84928087.969,12453069.0,64777493.526,-20150594.442999996
113,2021-01-22,NO4,61428296.369,7928588.0,80198903.153,18770606.783999994
114,2021-01-22,NO5,52054668.289,7704193.0,77090256.032,25035587.74300001
115,2021-01-23,NO1,117150558.758,30737717.0,58074149.566,-59076409.192
116,2021-01-23,NO2,111625779.307,19028134.0,179147507.051,67521727.744
117,2021-01-23,NO3,82963041.124,12452999.0,66196590.659,-16766450.464999996
118,2021-01-23,NO4,59429686.63,7928483.0,88232628.901,28802942.27099999
119,2021-01-23,NO5,51314224.251,7704218.0,100860298.515,49546074.264
120,2021-01-24,NO1,121715153.775,30737901.0,58598210.526,-63116943.249000005
121,2021-01-24,NO2,115615931.088,19028118.0,196341921.43,80725990.34200001
122,2021-01-24,NO3,81995460.751,12452973.0,79596611.539,-2398849.2119999975
123,2021-01-24,NO4,58387600.96,7928205.0,90364730.162,31977129.202
124,2021-01-24,NO5,48430871.77,7704323.0,131391532.152,82960660.382
125,2021-01-25,NO1,142135843.7,30739522.0,61118875.175,-81016968.52499999
126,2021-01-25,NO2,126634001.901,19028827.0,211221139.252,84587137.35100001
127,2021-01-25,NO3,88063952.966,12452917.0,76033397.998,-12030554.96800001
128,2021-01-25,NO4,61319141.044,7928701.0,94786446.544,33467305.5
129,2021-01-25,NO5,56293136.23,7705664.0,138143493.255,81850357.025
130,2021-01-26,NO1,151457415.592,30740373.0,60750614.492,-90706801.10000001
131,2021-01-26,NO2,130052350.854,19029313.0,211562432.864,81510082.00999999
132,2021-01-26,NO3,86969807.617,12453226.0,86096551.579,-873256.0380000025
133,2021-01-26,NO4,60748621.406,7929013.0,98157919.908,37409298.502000004
134,2021-01-26,NO5,56600455.432,7705329.0,137457211.139,80856755.707
135,2021-01-27,NO1,154888436.047,30742073.0,62461947.025,-92426489.02199998
136,2021-01-27,NO2,131646179.575,19030476.0,205727930.406,74081750.83099999
137,2021-01-27,NO3,89582480.21,12453447.0,83754603.82800001,-5827876.381999984
138,2021-01-27,NO4,60365351.334,7929319.0,101697265.619,41331914.285000004
139,2021-01-27,NO5,58349677.264,7706117.0,136578558.407,78228881.143
